subjectID,repetition,period,choiceset,lencs,mincs,P1cs,Q1cs,mediancs,meancs,Q3cs,P9cs,maxcs
101,1,1,"{'POSAT': 7.0, 'NUEES': 5.0, 'NAGEE': 3.5, 'JET': 10, 'DINAT': 3.5, 'SORES': 3.0, 'SORTS': 3.0, 'POSTA': 7.0, 'VOUES': 4.5}",9,3,3,3.5,4.5,5.166666666666667,3.5,7.6,10
101,1,2,{'NUAGE': 3.5},1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
101,1,3,"{'NUEES': 5.0, 'NAGEE': 3.5, 'EJET': 11.0, 'SORES': 3.0, 'NUAGE': 3.5, 'QUE': 10, 'JETE': 11.0, 'VOUES': 4.5}",8,3,3.35,3.5,4.75,6.4375,3.5,11,11
101,1,4,"{'DINAS': 3.5, 'NAGEURS': 4.6, 'NAGES': 3.5, 'POSAS': 7.0, 'JETS': 11.0, 'FOINS': 4.5, 'LABOS': 3.4}",7,3.4,3.46,3.5,4.5,5.357142857142857,3.5,8.600000000000001,11
101,1,5,{},0,0,0,0,0,NA,0,0,0
101,1,6,{'NUAGE': 3.5},1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
101,1,7,"{'NUAGE': 3.5, 'DOINA': 3.5, 'NOUES': 5.0}",3,3.5,3.5000000000000004,3.5,3.5,4,3.5,4.7,5
101,1,8,"{'BOUT': 6, 'POSTAT': 7.0, 'BUTO': 6, 'JETTES': 12.5, 'BOT': 5, 'DOINA': 3.5, 'BUT': 5, 'NOUES': 5.0, 'NUAGE': 3.5, 'SORTS': 3.0, 'TUB': 5, 'POSTA': 7.0, 'OUT': 3}",13,3,3.1,3.5,5,5.5,3.5,7,12.5
101,1,9,"{'NOUES': 5.0, 'NUAGE': 3.5, 'DUB': 6, 'DUO': 4, 'DOINA': 3.5, 'OUD': 4}",6,3.5,3.5,3.625,4,4.333333333333333,3.625,5.5,6
101,1,10,"{'BAUD': 7, 'NAGEA': 3.5, 'BAU': 5, 'DAUW': 14, 'DUO': 4, 'JETA': 11.0, 'WAD': 13, 'BOUDA': 8, 'OBA': 5, 'DOUA': 5, 'APOSTA': 8.0, 'VOUAS': 4.5, 'NOUES': 5.0, 'NUAGE': 3.5, 'OUD': 4, 'BAOU': 6, 'BOA': 5, 'DAB': 6, 'DAO': 4, 'DOINA': 3.5, 'ADO': 4, 'DAW': 13, 'JETAS': 12.0, 'DUB': 6}",24,3.5,3.65,4,5,6.666666666666667,4,12.7,14
101,2,1,"{'FAIT': 7, 'FIAT': 7, 'FIT': 6, 'AIT': 3, 'FIA': 6, 'FAIM': 8, 'TIF': 6, 'MIT': 4, 'MITA': 5, 'AMI': 4, 'AIDEE': 6.0, 'MAT': 4, 'TAF': 6, 'FAT': 6, 'MATIF': 9, 'POILA': 7.0, 'MAI': 4, 'MORAL': 6.0, 'MATI': 5}",19,3,4,4.5,6,5.7368421052631575,4.5,7.199999999999999,9
101,2,2,"{'AIT': 3, 'TOI': 3, 'TOM': 4, 'TIF': 6, 'TOF': 6, 'MIT': 4, 'MITA': 5, 'FIAT': 7, 'AIDEE': 6.0, 'MOTIF': 9, 'OMIT': 5, 'MATIF': 9, 'FAT': 6, 'TAF': 6, 'POILA': 7.0, 'TAO': 3, 'IOTA': 4, 'FAIT': 7, 'AMI': 4, 'FIT': 6, 'IODEE': 6.0, 'FIA': 6, 'FAIM': 8, 'FOI': 6, 'OIT': 3, 'MAT': 4, 'MOAI': 5, 'OTA': 3, 'MOT': 4, 'MOI': 4, 'OTAI': 4, 'MORAL': 6.0, 'MAI': 4, 'TOMA': 5, 'MOA': 4, 'TOMAI': 6, 'MAO': 4, 'MATI': 5}",38,3,3,4,5,5.184210526315789,4,7,9
101,2,3,"{'AIDEE': 6.0, 'POILA': 7.0}",2,6,6.1000000000000005,6.25,6.5,6.5,6.25,6.8999999999999995,7
101,2,4,"{'AIDEE': 6.0, 'TENDU': 6.0}",2,6,6,6,6,6,6,6,6
101,2,5,"{'AIDEE': 6.0, 'ADA': 4, 'TENDU': 6.0}",3,4,4.4,5,6,5.333333333333333,5,6,6
101,2,6,"{'AIDA': 5.0, 'POILAI': 8.0, 'POILAIT': 9.0}",3,5,5.6,6.5,8,7.333333333333333,6.5,8.8,9
101,2,7,{'IDEEL': 6.0},1,6,6,6,6,6,6,6,6
101,2,8,"{'IDEEL': 6.0, 'ORALE': 5.0, 'LIEUE': 5.0, 'EMOTIFS': 11.0, 'EMOTIF': 10.0, 'TENUE': 5.0}",6,5,5,5,5.5,7,5,10.5,11
101,2,9,"{'LAMPAT': 9.0, 'LAMPAIT': 10.0, 'IDEEL': 6.0, 'LAMPA': 8.0}",4,6,6.6,7.5,8.5,8.25,7.5,9.7,10
101,2,10,"{'LAMAI': 6.0, 'AIDA': 5.0, 'IDEEL': 6.0, 'LAMPAIT': 10.0}",4,5,5.300000000000001,5.75,6,6.75,5.75,8.8,10
102,1,1,"{'NAGEA': 6.0, 'BAT': 5, 'FLAT': 7, 'JETA': 6.0, 'FAT': 6, 'POSAT': 4.0, 'TAF': 6, 'VOUAS': 8.0, 'DINAT': 3.5, 'FLA': 6, 'SORTS': 3.0, 'BAL': 5, 'POSTA': 4.0}",13,3,3.6,4,6,5.346153846153846,4,6.800000000000001,8
102,1,2,"{'LOB': 5, 'NAGEA': 6.0, 'LOA': 3, 'LOF': 6, 'LABO': 6, 'JETA': 6.0, 'LOBA': 6, 'OBA': 5, 'LOFA': 7, 'FOL': 6, 'VOUAS': 8.0, 'BOL': 5, 'FOB': 8, 'NOUES': 3.0, 'FLA': 6, 'BOA': 5, 'BAL': 5, 'BOF': 8, 'OLA': 3, 'LAO': 3, 'DOINA': 3.5}",21,3,3,5,6,5.404761904761905,5,8,8
102,1,3,"{'NUERS': 3.0, 'DINAR': 3.5, 'NAGER': 6.0}",3,3,3.1000000000000005,3.25,3.5,4.166666666666667,3.25,5.500000000000001,6
102,1,4,{},0,0,0,0,0,NA,0,0,0
102,1,5,"{'NAGEA': 6.0, 'JETA': 6.0, 'VOUAS': 8.0, 'JETAS': 6.5, 'NAGERA': 7.0}",5,6,6,6,6.5,6.7,6,7.6,8
102,1,6,{},0,0,0,0,0,NA,0,0,0
102,1,7,{},0,0,0,0,0,NA,0,0,0
102,1,8,"{'JETTES': 7.0, 'SORTS': 3.0, 'POSTAT': 4.6}",3,3,3.3200000000000003,3.8,4.6,4.866666666666666,3.8,6.5200000000000005,7
102,1,9,"{'POSTAT': 4.6, 'NAGEE': 6.0, 'MET': 4, 'EJETS': 6.5, 'SORES': 3.0, 'EJET': 6.0, 'VOUES': 8.0, 'NUEES': 3.0, 'JETE': 6.0, 'JETTES': 7.0, 'SORTS': 3.0}",11,3,3,3.5,6,5.190909090909091,3.5,7,8
102,1,10,"{'POSTAT': 4.6, 'JETE': 6.0, 'NAGEE': 6.0, 'MET': 4, 'EJETS': 6.5, 'SORES': 3.0, 'EJET': 6.0, 'VOUES': 8.0, 'NUEES': 3.0, 'SORTES': 3.4, 'JETTES': 7.0}",11,3,3,3.7,6,5.2272727272727275,3.7,7,8
102,2,1,"{'AIDEE': 6.0, 'TAON': 4, 'ANA': 3, 'IODEE': 6.0, 'OTA': 3, 'POILA': 7.0, 'TON': 3, 'TAN': 3, 'TAO': 3, 'NOTA': 4, 'ONT': 3}",11,3,3,3,3,4.090909090909091,3,6,7
102,2,2,"{'AIDEE': 6.0, 'TAON': 4, 'ANA': 3, 'IODEE': 6.0, 'OTA': 3, 'POILA': 7.0, 'TON': 3, 'TAN': 3, 'TAO': 3, 'NOTA': 4, 'ONT': 3}",11,3,3,3,3,4.090909090909091,3,6,7
102,2,3,"{'ENTA': 4, 'POILAT': 8.0, 'IODEE': 6.0, 'ANE': 3, 'EON': 3, 'ETA': 3, 'TON': 3, 'NOTE': 4, 'ANTE': 4, 'NET': 3, 'NEO': 3, 'AIDEE': 6.0, 'TAON': 4, 'ANA': 3, 'ORALE': 5.0, 'OTA': 3, 'EMOTIFS': 11.0, 'EMOTIF': 10.0, 'OTE': 3, 'TENUE': 5.0, 'POILE': 7.0, 'NOTA': 4, 'LIEUE': 5.0, 'TAN': 3, 'TAO': 3, 'ONT': 3, 'ATONE': 5}",27,3,3,3,4,4.592592592592593,3,7.400000000000002,11
102,2,4,"{'ENTA': 4, 'NEO': 3, 'POILANT': 9.0, 'IODEE': 6.0, 'ANE': 3, 'EON': 3, 'ETA': 3, 'TON': 3, 'ANTE': 4, 'NET': 3, 'POILEE': 8.0, 'AIDEE': 6.0, 'TAON': 4, 'ANA': 3, 'ORALE': 5.0, 'OTA': 3, 'EMOTIFS': 11.0, 'EMOTIF': 10.0, 'OTE': 3, 'TENUE': 5.0, 'NOTE': 4, 'NOTA': 4, 'LIEUE': 5.0, 'TAN': 3, 'TAO': 3, 'ONT': 3, 'ATONE': 5}",27,3,3,3,4,4.666666666666667,3,8.400000000000002,11
102,2,5,"{'LOA': 3, 'POILANT': 9.0, 'TONAL': 5, 'IODEE': 6.0, 'OLA': 3, 'TON': 3, 'LOT': 3, 'TOLA': 4, 'ANAL': 4, 'ALTO': 4, 'AIDEE': 6.0, 'TAON': 4, 'LAO': 3, 'ANA': 3, 'OTA': 3, 'TAAL': 4, 'IDEEL': 6.0, 'NOTA': 4, 'TALON': 5, 'NATAL': 5, 'LOTO': 4, 'TALA': 4, 'TAN': 3, 'TAO': 3, 'ONT': 3}",25,3,3,3,4,4.16,3,6,9
102,2,6,"{'ATMAN': 6, 'LOA': 3, 'TONAL': 5, 'AMAN': 5, 'MANAT': 6, 'MOTO': 5, 'TON': 3, 'LOT': 3, 'TOM': 4, 'LOMO': 5, 'POILAIT': 9.0, 'AIDEE': 6.0, 'ANAL': 4, 'LAMAT': 6, 'MONO': 5, 'MALT': 5, 'MONT': 5, 'IDEEL': 6.0, 'NOTA': 4, 'MANA': 5, 'AMONT': 6, 'LOTO': 4, 'TALA': 4, 'TOLA': 4, 'TAO': 3, 'AMANT': 6, 'ONT': 3, 'POILANT': 9.0, 'IODEE': 6.0, 'TOMAN': 6, 'MATA': 5, 'OLA': 3, 'MALTA': 6, 'MOLTO': 6, 'LAMA': 5, 'TOMA': 5, 'MANTA': 6, 'TAN': 3, 'ANA': 3, 'ALTO': 4, 'NOM': 4, 'TAON': 4, 'NOMA': 5, 'MAT': 4, 'MONTA': 6, 'OTA': 3, 'TAAL': 4, 'TAMA': 5, 'LAO': 3, 'MOT': 4, 'TALON': 5, 'NATAL': 5, 'MORAL': 6.0, 'MON': 4, 'MOL': 4, 'MALON': 6, 'MOA': 4, 'MATON': 6, 'MAL': 4, 'MAO': 4, 'MAN': 4}",61,3,3,4,5,4.770491803278689,4,6,9
102,2,7,"{'NEO': 3, 'POILANT': 9.0, 'IODEE': 6.0, 'EON': 3, 'TON': 3, 'NET': 3, 'POILAIT': 9.0, 'LAMAT': 6.0, 'ORALE': 5.0, 'EMOTIFS': 11.0, 'EMOTIF': 10.0, 'OTE': 3, 'TENUE': 5.0, 'NOTE': 4, 'LIEUE': 5.0, 'ONT': 3}",16,3,3,3,5,5.5,3,9.5,11
102,2,8,"{'NEO': 3, 'POILANT': 9.0, 'IODEE': 6.0, 'AIDA': 5.0, 'EON': 3, 'LIEUE': 5.0, 'LAMANT': 7.0, 'LAMAIT': 7.0, 'ORALE': 5.0, 'OIE': 3, 'EMOTIF': 10.0, 'TENUE': 5.0, 'NIE': 3, 'ION': 3, 'NOIE': 4, 'LAMAI': 6.0}",16,3,3,3,5,5.25,3,8,10
102,2,9,"{'NEO': 3, 'LAMANT': 7.0, 'POILANT': 9.0, 'OLE': 3, 'LAMPANT': 10.0, 'IODEE': 6.0, 'ORALE': 5.0, 'LONE': 4, 'EMOTIF': 10.0, 'EON': 3, 'TENUE': 5.0, 'ENOL': 4, 'IDEEL': 6.0, 'NOEL': 4, 'LIEUE': 5.0}",15,3,3,4,5,5.6,4,9.6,10
102,2,10,"{'LAMANT': 7.0, 'POILANT': 9.0, 'LAMPANT': 10.0, 'LAMPA': 8.0, 'IODEE': 6.0, 'POLO': 6, 'IDEEL': 6.0, 'POOL': 6}",8,6,6,6,6.5,7.25,6,9.3,10
103,1,1,"{'FOI': 6, 'TIF': 6, 'POSTAT': 4.0, 'FIT': 6, 'DINAI': 6.0, 'NOUES': 3.0, 'FOIN': 7, 'TIN': 3, 'TOI': 3, 'TON': 3, 'DINAT': 6.0, 'SORTS': 5.0, 'FONT': 7, 'TOF': 6, 'FON': 6, 'POSTA': 4.0, 'POSANT': 4.0, 'INFO': 7, 'FION': 7, 'FIN': 6, 'POSAIT': 4.0, 'NIF': 6, 'POSAI': 4.0, 'DOINA': 6.0, 'SOIRS': 5.0, 'ION': 3, 'ONT': 3, 'OINT': 4, 'OIT': 3, 'NIT': 3}",30,3,3,3.25,5,4.866666666666666,3.25,7,7
103,1,2,"{'NUAGE': 3.5, 'SORTS': 5.0, 'POSTAT': 4.0, 'POSTA': 4.0, 'DINAT': 6.0}",5,3.5,3.7,4,4,4.5,4,5.6,6
103,1,3,"{'NUEES': 3.0, 'SORES': 5.0, 'NAGEUR': 3.8, 'EJET': 6.0, 'NAGEE': 3.5, 'NUAGE': 3.5, 'JETE': 6.0, 'VOUES': 4.5}",8,3,3.35,3.5,4.15,4.4125,3.5,6,6
103,1,4,"{'NAGEE': 3.5, 'JETES': 6.5, 'SORES': 5.0, 'POSAIT': 4.0, 'POSAI': 4.0, 'EJET': 6.0, 'VOUES': 4.5, 'EJETS': 6.5, 'NUEES': 3.0, 'JETE': 6.0, 'SOIRS': 5.0, 'DINAI': 6.0, 'DINAIT': 7.0}",13,3,3.6,4,5,5.153846153846154,4,6.5,7
103,1,5,"{'NAGERAI': 4.0, 'NAGEE': 3.5, 'JETES': 6.5, 'SORES': 5.0, 'POSAIT': 4.0, 'POSAI': 4.0, 'EJET': 6.0, 'VOUES': 4.5, 'EJETS': 6.5, 'NUEES': 3.0, 'JETE': 6.0, 'SOIRS': 5.0, 'DINAIT': 7.0}",13,3,3.6,4,5,5,4,6.5,7
103,1,6,"{'POSTAT': 4.0, 'NAGEE': 3.5, 'JETES': 6.5, 'SORES': 5.0, 'EJET': 6.0, 'VOUES': 4.5, 'EJETS': 6.5, 'NUEES': 3.0, 'JETE': 6.0, 'SORTS': 5.0, 'POSTA': 4.0, 'DINAIT': 7.0}",12,3,3.55,4,5,5.083333333333333,4,6.5,7
103,1,7,"{'JETES': 6.5, 'NAGEE': 3.5, 'EJET': 6.0, 'NUEES': 3.0, 'EJETS': 6.5, 'SORES': 5.0, 'JETE': 6.0, 'VOUES': 4.5}",8,3,3.35,4.25,5.5,5.125,4.25,6.5,6.5
103,1,8,"{'POSTAT': 4.6, 'JETEES': 7.5, 'NAGEE': 3.5, 'EJETS': 6.5, 'SORES': 5.0, 'EJET': 6.0, 'VOUES': 4.5, 'NUEES': 3.0, 'JETE': 6.0, 'JETTES': 7.5, 'SORTS': 5.0}",11,3,3.5,4.55,5,5.372727272727273,4.55,7.5,7.5
103,1,9,"{'NUEES': 3.0, 'POSTAT': 4.6, 'NAGEE': 3.5, 'EJET': 6.0, 'SORES': 5.0, 'EJETS': 6.5, 'JETTES': 7.5, 'SORTS': 5.0, 'JETE': 6.0, 'VOUES': 4.5}",10,3,3.4499999999999997,4.525,5,5.16,4.525,6.6,7.5
103,1,10,"{'DINAR': 6.0, 'NUEES': 3.0, 'JETE': 6.0, 'EJET': 6.0, 'NUERS': 3.0, 'EJETS': 6.5, 'SORES': 5.0, 'SORTES': 6.0, 'VOUES': 4.5}",9,3,3,4.5,6,5.111111111111111,4.5,6.1,6.5
103,2,1,"{'FETAS': 8, 'EST': 3, 'TAFS': 7, 'ASE': 3, 'FATE': 7, 'FATES': 8, 'ETA': 3, 'FAT': 6, 'FATS': 7, 'CEDES': 8.0, 'LIEUS': 5.0, 'AIDEE': 6.0, 'SET': 3, 'POILS': 7.0, 'TAS': 3, 'ORALE': 5.0, 'ASTE': 4, 'TENUE': 5.0, 'CEDEE': 8.0, 'POILE': 7.0, 'IDEES': 6.0, 'TAF': 6, 'POILA': 7.0, 'SATE': 4, 'FETA': 7, 'TENUS': 5.0, 'LIEUE': 5.0, 'TES': 3, 'FASTE': 8}",29,3,3,4,6,5.655172413793103,4,8,8
103,2,2,"{'FETAS': 8, 'EST': 3, 'TAFS': 7, 'FETA': 7, 'FATE': 7, 'FATES': 8, 'ETA': 3, 'FAT': 6, 'FATS': 7, 'CEDES': 8.0, 'AIDEE': 6.0, 'SET': 3, 'POILS': 7.0, 'TAS': 3, 'ORALE': 5.0, 'CEDEES': 9.0, 'EMOTIF': 10.0, 'ASTE': 4, 'TENUE': 5.0, 'LIEUS': 5.0, 'POILE': 7.0, 'IDEES': 6.0, 'TAF': 6, 'ASE': 3, 'POILA': 7.0, 'SATE': 4, 'MOTIFS': 10.0, 'TENUS': 5.0, 'LIEUE': 5.0, 'TES': 3, 'FASTE': 8}",31,3,3,4.5,6,5.967741935483871,4.5,8,10
