subjectID,age,antiautoritarian,chance,conservatism,equality,equalitychance,equalitytreatment,gender,inferiors,payoff,perception_me_ipd,perception_me_scrabble,perception_other_ipd,perception_other_scrabble,politic,racism,studies,work_type
101,23,4,0,-2,2,4,4,h,-4,0,2,2,2,2,5,0,9,edu
102,20,-2,1,-2,0,4,2,h,-4,0,3,1,1,1,8,-4,11,edu
103,24,-3,-4,4,4,4,3,f,-4,0,2,1,2,2,3,-4,12,edu
104,20,4,0,-4,4,4,3,h,-4,0,3,2,1,3,5,-4,9,edu
105,48,-3,1,1,-1,3,-2,f,-2,0,2,3,2,2,5,-3,9,worker
106,21,-1,-2,0,1,4,2,f,-2,0,1,3,1,3,7,0,9,edu
107,49,4,-1,-4,4,4,-4,f,-4,0,2,2,2,2,2,-4,8,worker
108,23,3,-4,-4,4,4,4,h,-4,0,0,0,1,0,2,2,9,edu
109,49,4,0,4,2,4,4,h,-3,0,3,3,2,2,8,0,7,worker
110,27,2,-4,-4,2,4,2,h,-4,0,3,0,1,1,3,1,11,edu
111,20,4,4,2,4,4,4,f,-4,0,0,2,2,1,1,0,9,edu
112,48,-1,3,1,0,2,4,f,-1,0,2,2,2,2,5,2,8,worker
113,27,4,-2,-2,2,4,4,h,-4,0,2,1,2,2,2,-2,10,no
114,18,3,1,-1,3,4,4,h,-2,0,2,2,1,2,1,2,10,edu
115,21,4,-3,1,3,4,4,f,-4,0,2,2,0,2,5,-3,10,edu
201,20,4,-2,-4,4,4,4,h,-4,0,3,2,3,1,5,-4,9,edu
202,20,4,0,-3,0,1,-2,h,-2,0,1,2,0,1,6,-4,8,edu
203,21,-3,-2,-1,3,4,3,f,-4,0,3,0,2,0,5,-4,12,edu
204,22,1,-1,-3,1,4,1,f,-4,0,3,2,3,2,5,-3,12,edu
205,19,-2,1,0,2,4,-3,h,-2,0,2,1,1,1,3,-3,8,edu
206,19,3,-3,-3,4,3,4,f,-3,0,1,2,2,2,4,-4,10,edu
207,44,4,-2,-4,-1,4,3,f,-4,0,2,3,2,2,3,-4,11,worker
208,21,2,4,2,4,4,-2,h,-4,0,2,3,3,3,3,0,11,edu
209,21,4,-3,-2,4,4,3,h,-4,0,2,2,2,1,3,1,9,edu
210,19,4,2,-2,4,2,1,h,-3,0,2,1,0,3,6,-4,9,edu
211,21,-4,-4,2,4,4,4,h,-4,0,3,2,1,2,7,-2,11,edu
212,21,-2,2,4,-3,2,-4,f,-4,0,1,2,0,1,6,0,12,edu
213,18,0,3,4,3,4,3,h,-3,0,1,2,0,1,2,-2,8,edu
214,20,-2,3,1,-1,2,-2,h,1,0,1,0,0,1,6,3,11,edu
215,20,4,-4,-4,4,4,4,f,-4,0,2,2,1,1,1,-4,9,edu
301,24,4,-4,-4,4,4,4,h,-4,0,2,3,1,2,2,-4,10,edu
302,21,0,4,0,0,0,0,h,0,0,1,1,2,1,3,0,9,edu
303,43,4,2,0,4,4,4,f,-4,0,1,2,2,2,8,-4,10,worker
304,21,3,-3,-4,3,4,4,f,-4,0,2,2,2,2,5,-2,9,edu
305,19,4,-4,0,4,4,4,f,-4,0,0,3,0,2,2,1,9,edu
306,23,1,3,-4,4,4,4,h,-4,0,2,0,0,1,5,-4,11,edu
307,27,3,-4,2,1,4,3,h,-4,0,3,1,2,1,4,-2,11,edu
308,56,1,2,1,2,3,3,f,1,0,2,2,1,2,5,0,10,worker
309,35,2,3,-4,3,4,4,f,-4,0,2,2,2,2,3,-4,14,no
310,19,-1,-4,-4,-4,4,4,h,-4,0,2,2,1,2,3,-4,11,edu
311,21,3,-2,-2,3,4,4,h,-2,0,2,2,1,2,2,-4,9,edu
312,21,0,2,1,-2,1,-1,f,0,0,2,2,0,2,8,-3,12,edu
313,47,-4,-4,-4,4,4,4,f,-4,0,2,1,2,0,3,-4,9,worker
314,20,-2,2,-3,-1,2,-2,h,-4,0,2,1,2,3,7,-4,9,edu
315,48,0,0,0,4,4,4,h,0,0,2,2,2,2,5,-4,12,worker
401,20,1,-2,-3,-2,2,4,f,0,0,2,2,0,2,6,-4,9,edu
402,20,-1,-1,-1,3,4,2,f,-2,0,1,1,2,1,6,-4,9,edu
403,20,4,-4,-3,4,4,4,f,-4,0,2,2,1,2,2,-4,10,edu
404,19,4,-2,-2,0,4,4,h,-4,0,2,2,0,1,6,-4,10,edu
405,18,3,2,1,3,2,4,f,-4,0,2,2,1,1,7,-4,8,edu
406,20,4,-4,1,2,4,2,h,-4,0,3,1,2,2,6,-4,11,edu
407,35,3,0,2,2,4,4,h,-2,0,2,3,2,2,1,-4,10,worker
408,21,4,2,-4,-2,-1,2,f,-4,0,2,1,2,1,8,-4,9,edu
409,18,4,-2,4,4,3,2,h,-4,0,2,2,0,1,7,-2,11,edu
410,22,4,-4,-4,4,4,4,f,-4,0,3,1,1,2,3,-4,11,edu
411,62,-1,3,2,3,3,4,f,-4,0,2,2,2,3,7,3,8,no
412,20,1,-2,-4,3,4,4,f,-4,0,2,2,1,2,6,-4,9,edu
413,21,3,-4,-4,4,3,3,h,-4,0,2,1,2,2,3,-4,10,edu
414,22,3,-1,-1,-1,2,2,h,-3,0,1,2,1,2,4,-2,11,edu
415,21,2,0,-2,2,4,2,f,-2,0,1,1,1,1,5,-2,11,edu
501,43,1,-2,2,3,3,2,h,-3,0,1,1,1,1,5,0,12,worker
502,20,4,0,2,4,3,4,h,-2,0,3,2,0,2,3,-4,9,edu
503,49,1,-4,-4,3,4,4,f,-4,0,1,1,1,1,4,-4,9,worker
504,23,-4,-3,-4,4,3,4,f,-4,0,1,3,2,2,2,-4,11,edu
505,23,4,2,4,0,4,2,h,-4,0,2,2,2,2,8,1,12,edu
506,20,-3,-3,-4,2,4,3,f,-4,0,2,2,1,2,3,-4,9,edu
507,30,3,0,-3,3,4,3,f,-4,0,2,1,3,3,3,-4,8,worker
508,48,4,-3,-1,4,4,4,h,-3,0,2,2,2,2,6,0,6,worker
509,41,4,1,2,2,4,4,f,-4,0,3,0,3,0,8,-4,12,no
510,27,3,-2,2,3,3,-1,f,-3,0,2,2,1,2,3,-4,12,worker
511,23,3,1,1,1,1,3,f,0,0,2,2,1,2,5,1,11,edu
512,43,2,-4,-4,4,4,4,f,-4,0,0,0,0,0,5,-4,14,worker
513,19,1,-4,2,4,4,2,h,-4,0,2,1,1,1,5,-2,10,edu
514,25,1,3,2,2,1,2,f,-4,0,3,1,1,2,5,-2,10,worker
515,22,4,0,-2,4,3,3,h,-4,0,2,1,1,1,4,-4,14,edu
601,20,3,3,2,0,2,2,f,-3,0,2,2,0,2,3,-4,9,edu
602,20,3,1,-4,4,4,2,h,-4,0,3,1,3,1,5,-4,9,edu
603,20,0,2,4,-2,3,3,f,-4,0,2,0,2,1,7,-2,10,edu
604,20,4,-2,-2,4,4,4,f,-4,0,3,1,0,2,2,-4,9,edu
605,20,0,-4,-4,4,4,0,f,-4,0,3,1,1,2,5,-4,10,edu
606,20,4,-3,-3,4,4,3,h,-4,0,2,2,2,1,1,-4,9,edu
607,20,-1,0,0,0,-4,-4,h,1,0,3,0,3,0,7,1,11,edu
608,20,2,-4,-3,3,4,3,h,-4,0,2,1,2,2,7,-4,11,edu
609,21,2,-3,-3,1,3,1,h,-4,0,1,0,1,2,1,-4,9,edu
610,20,2,3,-4,2,4,2,f,-2,0,2,1,2,2,7,-4,10,edu
611,20,-2,1,-2,-1,3,-2,h,-4,0,3,1,3,1,6,2,9,edu
612,23,2,2,-3,-3,4,2,h,-3,0,2,2,2,2,6,1,12,edu
613,21,4,3,-4,4,4,2,h,-4,0,3,1,2,1,4,-3,10,edu
614,21,4,-3,-4,2,4,1,h,-4,0,2,2,1,2,7,-4,9,edu
615,20,2,-4,-2,4,4,3,f,-2,0,2,0,1,2,3,-4,9,edu
701,21,4,4,-4,4,4,4,f,-4,0,0,1,0,2,6,2,12,edu
702,25,2,-2,-2,4,4,4,f,-3,0,2,2,1,2,6,-4,12,worker
703,20,4,2,-2,3,4,3,f,-4,0,2,1,1,2,5,0,11,edu
704,27,2,2,-2,3,4,4,f,-4,0,2,2,2,3,3,-4,10,worker
705,22,1,3,1,-1,3,0,f,0,0,3,2,2,2,9,0,11,edu
706,40,4,0,-4,4,4,4,f,-4,0,2,2,2,2,3,-4,12,no
707,20,2,-1,-3,2,4,4,f,-3,0,2,1,1,1,5,-3,10,edu
708,48,1,4,3,4,4,4,f,-4,0,3,3,3,2,5,-4,8,worker
709,40,4,4,4,4,4,4,f,-1,0,3,3,1,2,5,-2,6,worker
710,41,1,-3,-3,4,4,4,f,-4,0,1,2,2,2,4,-4,12,worker
711,22,-4,-4,-4,4,4,4,f,-4,0,3,2,3,2,2,-4,11,edu
712,20,4,2,2,-2,3,-1,h,0,0,1,1,1,1,9,3,10,edu
713,47,2,2,0,2,2,2,f,-2,0,2,2,2,2,6,-2,10,worker
714,47,3,3,-3,3,3,4,h,-4,0,3,1,2,2,3,-2,12,worker
715,18,2,0,-2,3,4,2,f,-4,0,3,2,2,2,8,-4,10,edu
801,28,4,-4,-4,4,4,4,h,-4,0,1,2,1,3,1,-4,10,no
802,37,2,2,3,4,4,3,f,-4,0,2,2,1,2,4,2,10,worker
803,20,-1,1,-1,1,1,0,h,-2,0,2,3,0,3,8,-3,10,edu
804,20,4,-3,0,3,4,4,f,-3,0,3,1,1,1,5,-4,8,edu
805,21,-3,2,-2,2,2,-2,h,0,0,3,1,0,2,6,2,12,edu
806,22,-2,1,-3,-1,3,3,h,-4,0,2,1,2,1,7,-3,12,edu
807,18,4,0,-4,-4,3,0,f,-4,0,2,3,2,1,1,-4,8,no
808,26,-4,-2,-4,3,4,4,f,-4,0,3,2,2,2,3,-4,10,auto
809,20,-3,3,4,3,4,1,f,-4,0,0,0,1,1,3,-4,9,edu
810,40,3,3,3,4,4,4,f,-4,0,0,1,2,2,1,-4,6,no
