points,payoff,suf
19.9,12.97,8
43.1,18.78,8
48.6,20.15,8
51.2,20.8,8
16.3,12.08,8
38.1,17.53,8
15,11.75,8
12.6,11.15,8
21.2,13.3,8
16.6,12.15,8
41.3,18.32,8
14.4,11.6,8
14,11.5,8
10.3,10.58,8
14,11.5,8
16.7,14.17,10
24,16,10
31.2,17.8,10
13.7,13.42,10
20.9,15.22,10
24.9,16.22,10
3.2,10.8,10
29.4,17.35,10
12.9,13.23,10
21,15.25,10
13.8,13.45,10
25.6,16.4,10
39.5,19.88,10
14.1,13.52,10
6.4,11.6,10
15.6,13.9,10
19.5,14.88,10
80.1,30.02,10
7.8,11.95,10
76.8,29.2,10
14.6,13.65,10
7.6,11.9,10
8.1,12.02,10
27.4,16.85,10
29.9,17.47,10
16.8,14.2,10
25.4,16.35,10
21,15.25,10
5.4,11.35,10
101.5,35.38,10
13.3,18.33,15
20.9,20.22,15
19,19.75,15
33.7,23.43,15
24,21,15
10.2,17.55,15
28,22,15
17.6,19.4,15
41.4,25.35,15
39.9,24.97,15
7.1,16.77,15
14,18.5,15
10,17.5,15
46.3,26.57,15
0,15,15
4.7,16.18,15
19.4,19.85,15
29.3,22.33,15
9.8,17.45,15
13.7,18.42,15
14.2,18.55,15
9,17.25,15
9.9,17.48,15
13.1,18.27,15
13.4,18.35,15
19.5,19.88,15
12,18,15
8.1,17.02,15
21.6,20.4,15
6.9,16.73,15
54.7,28.68,15
31.2,22.8,15
52,28,15
33.5,23.38,15
30.6,22.65,15
37.3,24.32,15
37.4,24.35,15
33.6,23.4,15
34.5,23.63,15
29.3,22.33,15
25.7,21.42,15
72.2,33.05,15
27.4,21.85,15
54.7,28.68,15
43.4,25.85,15
24.1,21.03,15
0,15,15
75.7,33.93,15
22.4,20.6,15
24.7,21.17,15
0.3,15.07,15
2.5,15.63,15
22,20.5,15
0,15,15
34.9,23.72,15
9.3,17.33,15
33.5,23.38,15
16.6,19.15,15
0,15,15
28.1,22.03,15
27.6,21.9,15
4.1,16.02,15
18.3,19.58,15
58.2,29.55,15
3.5,15.88,15
25,21.25,15
33.5,23.38,15
41.1,25.28,15
30.6,22.65,15
37.2,24.3,15
28,22,15
42.4,25.6,15
3.4,15.85,15
30.9,22.72,15
35.4,23.85,15
51.1,27.78,15
15.2,18.8,15
23.7,20.92,15
