sessionID,subjectID,subject,group,repetition,period,extended_word,hand,role,letters_added,new_word,payoff,royalties,royalties_earned,royalties_spent,timeout,vote,IPregime
1,101,1,1,1,1,NA,QJWET,1,JET,JET,10,50,3,0,NA,1,IP
1,101,1,1,1,2,NA,QWU,1,NA,NA,0,NA,0,0,NA,1,IP
1,101,1,1,1,3,NA,QWUE,1,QUE,QUE,10,60,0,0,NA,1,IP
1,101,1,1,1,4,JET,WS,1,S,JETS,11,50,0,0,NA,1,IP
1,101,1,1,1,5,NA,WB,1,NA,NA,0,0,0,0,1,1,IP
1,101,1,1,1,6,NA,WBU,1,NA,NA,0,0,0,0,1,1,IP
1,101,1,1,1,7,NA,WBUO,1,NA,NA,0,NA,5.5,0,NA,1,IP
1,101,1,1,1,8,POSA,WBUOT,1,T,POSTA,7,40,5.5,0,NA,1,IP
1,101,1,1,1,9,NA,WBUOD,1,NA,NA,0,NA,0,0,NA,1,IP
1,101,1,1,1,10,JETS,WBUODA,1,A,JETAS,12,40,0,0,NA,1,IP
1,101,1,1,2,1,NA,MATIF,1,NA,NA,0,NA,0,0,NA,1,noIP
1,101,1,1,2,2,NA,MATIFO,1,MOTIF,MOTIF,9,NA,0,0,NA,1,noIP
1,101,1,1,2,3,POIL,AA,1,A,POILA,7,NA,0,0,NA,1,noIP
1,101,1,1,2,4,NA,AD,1,NA,NA,0,NA,0,0,NA,1,noIP
1,101,1,1,2,5,NA,ADA,1,ADA,ADA,4,NA,0,0,NA,1,noIP
1,101,1,1,2,6,POILA,I,1,I,POILAI,8,NA,0,0,NA,1,noIP
1,101,1,1,2,7,NA,L,1,NA,NA,0,NA,0,0,NA,1,noIP
1,101,1,1,2,8,MOTIFS,LE,1,E,EMOTIFS,11,NA,0,0,NA,1,noIP
1,101,1,1,2,9,LAMAT,LP,1,P,LAMPAT,9,NA,0,0,NA,1,noIP
1,101,1,1,2,10,LAMPAT,LI,1,I,LAMPAIT,10,NA,0,0,NA,1,noIP
1,102,2,1,1,1,POSA,FBATL,2,T,POSAT,4,100,0,3,NA,1,IP
1,102,2,1,1,2,NA,FBALO,2,LABO,LABO,6,60,0,0,NA,1,IP
1,102,2,1,1,3,"NAGE",FR,2,R,"NAGER",6,70,3.2,0,NA,1,IP
1,102,2,1,1,4,NA,FB,2,NA,NA,0,0,0,0,1,1,IP
1,102,2,1,1,5,"NAGER",FBA,2,A,"NAGERA",7,80,0,0,NA,1,IP
1,102,2,1,1,6,NA,FBM,2,NA,NA,0,0,0,0,1,1,IP
1,102,2,1,1,7,NA,FBMB,2,NA,NA,0,NA,0,0,NA,1,IP
1,102,2,1,1,8,NA,FBMBT,2,NA,NA,0,0,0,0,1,1,IP
1,102,2,1,1,9,NA,FBMBTE,2,NA,NA,0,NA,0,0,1,1,IP
1,102,2,1,1,10,"NAGE",FBMBTEM,2,E,"NAGEE",6,100,0,0,NA,1,IP
1,102,2,1,2,1,NA,"NAOTA",2,NA,NA,0,0,0,0,1,1,noIP
1,102,2,1,2,2,NA,"NAOTAO",2,NA,NA,0,NA,0,0,NA,1,noIP
1,102,2,1,2,3,POILA,"NAOTAOE",2,T,POILAT,8,NA,0,0,NA,1,noIP
1,102,2,1,2,4,POILE,"NAOAOET",2,E,POILEE,8,NA,0,0,NA,1,noIP
1,102,2,1,2,5,NA,"NAOAOTL",2,NA,NA,0,NA,0,0,1,1,noIP
1,102,2,1,2,6,NA,"NAOAOTLM",2,LAMA,LAMA,5,NA,0,0,NA,1,noIP
1,102,2,1,2,7,POILAI,NOOTE,2,T,POILAIT,9,NA,0,0,NA,1,noIP
1,102,2,1,2,8,LAMAT,NOOEI,2,I,LAMAIT,7,NA,0,0,NA,1,noIP
1,102,2,1,2,9,LIEU,NOOEL,2,E,LIEUE,5,NA,0,0,NA,1,noIP
1,102,2,1,2,10,NA,NOOLP,2,POLO,POLO,6,NA,0,0,NA,1,noIP
1,103,3,1,1,1,NA,ITOFN,3,FOIN,FOIN,7,50,0,0,NA,0,IP
1,103,3,1,1,2,DINA,TU,3,T,DINAT,6,30,0,0,NA,0,IP
1,103,3,1,1,3,"NAGER",UE,3,U,"NAGEUR",3.8,20,0,3.2,NA,0,IP
1,103,3,1,1,4,DINA,EI,3,I,DINAI,6,70,0,0,NA,0,IP
1,103,3,1,1,5,SORS,EI,3,I,SOIRS,5,70,0,0,NA,0,IP
1,103,3,1,1,6,DINAI,ET,3,T,DINAIT,7,10,0,0,NA,0,IP
1,103,3,1,1,7,JETS,EE,3,E,JETES,6.5,50,0,5.5,NA,0,IP
1,103,3,1,1,8,JETES,ET,3,E,JETEES,7.5,80,0,5.5,NA,0,IP
1,103,3,1,1,9,SORS,TE,3,T,SORTS,5,60,0,0,NA,0,IP
1,103,3,1,1,10,SORTS,ER,3,E,SORTES,6,100,0,0,NA,0,IP
1,103,3,1,2,1,CEDE,SEATF,3,E,CEDEE,8,NA,0,0,NA,0,noIP
1,103,3,1,2,2,MOTIF,SATFE,3,S,MOTIFS,10,NA,0,0,NA,0,noIP
1,103,3,1,2,3,POIL,ATFEE,3,E,POILE,7,NA,0,0,NA,0,noIP
1,103,3,1,2,4,NA,ATFEK,3,KEFTA,KEFTA,17,NA,0,0,NA,0,noIP
1,103,3,1,2,5,NA,Q,3,NA,NA,0,NA,0,0,1,0,noIP
