sessionID,subjectID,repetition,IPregime,voted,points,royalties_in,royalties_out,percasked,day,month,time,vote,info,experimenters,comment,showupfee,votechr,voteresult
1,101,1,IP,1,64,14,0,34.285714285714285,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,101,2,noIP,1,58,0,0,NA,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,loser
1,102,1,IP,1,32.2,3.2,3,51.25,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,102,2,noIP,1,48,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,loser
1,103,1,IP,0,59.8,0,14.2,54,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,loser
1,103,2,noIP,0,53,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,winner
1,104,1,IP,0,39.9,12.5,9.6,68.57142857142857,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,loser
1,104,2,noIP,0,78,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,winner
1,105,1,IP,1,44.1,15.1,6,52.857142857142854,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,105,2,noIP,1,54,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,loser
1,106,1,IP,0,76,3,15,62,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,loser
1,106,2,noIP,0,54,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,winner
1,107,1,IP,0,67.5,10.5,1,62.22222222222222,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,loser
1,107,2,noIP,0,59,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,winner
1,108,1,IP,0,34.5,7.5,13,91.42857142857144,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,loser
1,108,2,noIP,0,68,0,0,NA,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,winner
1,109,1,IP,0,36,4.5,8.5,68.75,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,loser
1,109,2,noIP,0,48,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,winner
1,110,1,IP,1,51.5,16.4,2.9,60,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,110,2,IP,1,54,12.1,11.1,80,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,111,1,IP,1,49,0.9,18.9,77,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,111,2,IP,1,30.5,1.6,12.1,61.25,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,112,1,IP,1,15.5,4.5,0,13.333333333333334,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,112,2,IP,1,38.5,9.5,0,37.142857142857146,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,113,1,IP,1,50.1,8.3,7.199999999999999,48.888888888888886,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,113,2,noIP,1,64,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,loser
1,114,1,IP,0,52.9,9.9,18,50,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,loser
1,114,2,noIP,0,72,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,noIP,winner
1,115,1,IP,1,61,16.9,9.9,55,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,winner
1,115,2,noIP,1,56,0,0,0,12,12,18h,VOTE,NONINFO,isma,NA,15,IP,loser
2,201,1,IP,NA,35.9,3.9,8,52,13,12,17h30,NONVOTE,INFO,isma,NA,15,novote,novote
2,201,2,noIP,NA,42,0,0,0,13,12,17h30,NONVOTE,INFO,isma,NA,15,novote,novote
2,202,1,IP,NA,75.4,11.8,9.4,70,13,12,17h30,NONVOTE,INFO,isma,NA,15,novote,novote
