subjectID,wordscreated,Nwords,Ncorrectwords,Npoints
101,"TIERS,DIRE,MITE,RADIS,ADIAS,DIT,RAS,DARE,TARD,DAME,",10,10,50
102,"RIDES,DIRE,SERIT,DAMES,MEDIR,RAMES,EDIT,TARE,TERS,TIERS,TIARS,DITES,DIT,DIS,RADE,MARE,MARS,MATER,DISE,DAS,SERT,",21,20,107
103,"EDITA,TERS,TIERS,DITES,AMER,AMAS,DITE,DATE,DATER,DATES,AMA,AME,AMES,AMERS,DIRE,DIRA,DIRAS,MITES,MITE,MITA,MITER,MEDITA,MEDITAS,DISA,MER,MERS,TES,TER,MAITRE,MAITRES,MET,METS,MEDIR,MEDISA,",34,34,186
104,"DITES,DITE,DIRE,MARE,MARES,TIRE,TIRES,SER,SERT,RIME,RIMES,RITE,RITES,SIDA,MER,MATE,MATER,MATES,MADI,TES,DIT,DIS,DAME,DATE,DAMES,DATES,RAT,RATS,RAME,",29,29,142
105,"MEDITA,MATER,RESTA,RESTAI,DATA,DATAI,TIRES,TIRA,MATA,DATER,",10,10,56
106,"TIERS,DAME,DAMES,DITES,DIRE,DIRES,AMAS,SERT,TARD,TARDS,RAT,RATS,RIT,RIDES,RIDE,DIT,TES,TAS,RIME,RIMES,RAME,RAMES,MAT,MATS,MAS,",25,25,121
107,"DITES,MES,TES,TARA,TAS,DES,SITE,SITER,RAMAS,SAIT,SAMAD,AMADE,TERS,TIERS,MATER,MITE,MITES,SATA,",18,18,87
108,"RESTA,DIT,DITE,MATER,MATERA,SERA,SERAIT,MISE,MISER,MISERA,MARE,MARES,DATE,DATERA,SERT,SERTI,DES,RAT,RATS,RATE,RATA,RATES,DIS,RASE,RASA,TIERS,RITE,RITES,REST,",29,29,141
109,"DATE,AMER,MITE,MITES,DATIER,DATIERS,DITES,DIRE,DIRES,MER,MERS,TARE,TARES,SERT,SAIT,AIDE,AIDES,DATES,MAIRE,MAIRES,TRI,",21,19,112
110,"AIDER,TIRE,RESTA,MER,AIME,TRAME,TIRES,TRES,MERS,DIRE,DITES,TAIRE,",12,12,60
111,"MAI,AIME,DIT,TIR,RIT,DAME,RAIE,SITE,",8,8,33
112,"MITE,TER,RADIS,DITE,DIRE,DAMIER,MAT,SIRE,",8,8,40
113,"DAME,TIER,TIERS,TIR,TIRE,TIRA,TAR,TARI,TAIRE,RAT,MAT,TAS,RAS,DIT,MIE,SIE,SIR,MIR,DIRE,MADI,DITE,SEMA,ADIT,EDIT,ITER,DAMIER,DAMIERS,SAT,SAM,",29,29,128
114,"AMAS,DITES,DIRE,SER,SERA,SIRE,SIR,TSAR,DIT,TIERS,IDES,RAME,RAMES,RAMT,RAT,RATS,RATE,RATES,DIRES,TAS,RAS,RAIS,RAIDE,RAIDES,RADIS,RADIT,RAIDT,MADE,",28,27,133
115,"MATER,DIT,DITE,DAME,SERT,TES,DIS,AMIE,AMI,TIRE,TIRA,RIT,TIERS,SERA,DES,ERA,MITE,MIE,MAI,MAIS,DITES,MAT,MET,METS,META,",25,25,110
201,"DIT,AMARE,REST,TERMIA,TERM,TIERS,RAIE,SERA,MEDITA,MARS,DIR,DIS,TERS,TER,AIMER,EDIT,EDIS,EDITA,EDITAS,AIMA,AIMAS,DIRA,DIRAS,",23,22,118
202,"DITE,DITES,AMAT,REDIT,AMAS,AIDE,AIDER,AIDES,MATS,MAT,MAIRE,MAIRES,MIE,MIES,TIR,TIRS,TIRA,TIRAS,TIERS,DAME,DAMES,DIT,DISA,MAI,MAIS,MER,MERS,TAMIS,TAM,SERA,SERAIT,MARAIS,RIS,RISE,",34,34,170
